cust_no,C1,C2
0xb2d3ad96,332005.48,7
0xb2d3d205,162.92,1
0xb2d636da,550076.72,6
0xb2d37463,907.19,1
0xb2d6bb1f,40006.7,2
0xb2d3d208,1450890.01,5
0xb2d6bb1c,5395.47,1
0xb2d40f1f,0.0,1
0xb2d3ad9f,64941.3,2
0xb2d755c0,0.0,1
0xb2d6bb25,500057.74,2
0x3b9b25a7,1.0,1
0xb2d636c8,0.0,1
0x3b9b25b0,157209.59,1
0xb2d6f82d,33.65,1
0xb2d40f2b,0.77,1
0xb2d3ad84,380287.55,8
0xb2d3ad81,16.57,1
0x3b9b25a1,144397.06,8
0xb2d2ec34,0.17,1
0xb2d6bb0a,221813.59,3
0xb2d3ad7b,966439.02,2
0xb2d6f821,2.67,1
0xb2d3ad7e,2057.24,1
0xb2d2ec1f,16.76,2
0x3b9b259b,201040.45,9
0xb2d6f818,1.73,1
0xb2d34dde,4.44,1
0xb2d40f43,1090000.0,3
0x3b9b258f,1688.77,10
0xb2d40f3d,312638.13,3
0xb2d6bb46,36.62,1
0x3b9b258c,10.23,1
0xb2d636b0,0.02,1
0x3b9b2586,1.0,1
0xb2d6bb49,141658.46,2
0xb2d5d530,354465.27,3
0xb2d433a9,580000.41,6
0xb2d40f4c,58.24,1
0x3b9b257d,13397.09,2
0xb2d433af,113131.43,2
0xb2d34d9f,23.34,1
0xb2d08b6d,1.0,1
0x3b9b257a,165.12,1
0xb2d6bb34,0.07,1
0xb2d61226,940035.42,6
0xb2d6bb3a,80046.84,2
0x3b9b2568,4.26,1
0xb2d34dae,114.97,1
0xb2d433c7,0.56,1
0xb2d08b55,783021.14,10
0xb2d4ce56,320012.54,5
0xb2d3ad5a,31.15,1
0xb2d6f7d9,186012.78,4
0xb2d4ce8c,12.44,1
0xb2d61217,0.0,1
0xb2d08ba3,1374405.68,12
0xb2d4916f,0.02,1
0xb2d5d50f,0.0,1
0xb2d146d8,79.51,1
0xb2d6120e,160.19,1
0xb2d4ce95,30.11,1
0xb2d433e2,35.27,1
0xb2d433d9,75.11,1
0xb2d433dc,28.7,1
0xb2d57761,102434.42,6
0xb2d5775b,28001.31,2
0xb2d4ce98,926.05,1
0xb2d5d512,650000.0,3
0xb2d61205,2502.92,1
0xb2d6966e,100.2,1
0xb2d5d4f7,100302.0,2
0xb2d0e95a,106.61,1
0xb2d49187,704771.7,6
0xb2d14acb,500000.42,4
0xb2d69665,1500000.0,4
0xb2d611ed,992.03,1
0xb2d6baf5,8716.09,1
0xb2d433fa,0.26,1
0xb2d7559f,0.0,1
0xb2d0b02d,1.0,1
0xb2d611e4,296.72,1
0xb2d0b027,149246.37,2
0xb2d5b064,790021.73,6
0xb2d83baf,205449.26,2
0xb2d515c6,21.7,1
0xb2d5d4eb,203006.45,2
0xb2d6bb01,15000.5,2
0xb2d6bafe,8299.64,1
0xb2d519a7,320.41,1
0xb2d57734,10028.96,1
0xb2d34df3,8635.65,1
0xb2d4cac3,2.77,1
0xb2d4ef26,140481.52,3
0xb2d22ce8,5.0,1
0xb2d5b076,14.83,1
0xb2d611d2,1956000.84,13
0xb2d6968f,12.17,1
0xb2d0e930,5.12,2
0xb2d57746,13.24,1
0xb2d5b046,50983.41,5
0xb2d49151,120.1,1
0xb2d49154,453721.77,5
0xb2d611c6,100010.98,2
0xb2d1a834,8.92,1
0xb2d22cfa,79.82,1
0xb2d5b040,1101889.93,5
0xb2d552b0,30.68,1
0xb2d22ceb,0.0,1
0xb2d49142,20.04,1
0xb2d146b7,270000.0,2
0xb2d22cee,1.09,1
0xb2d1a843,180000.33,3
0xb2d552aa,63.1,1
0xb2d8faf2,641776.04,3
0xb2d69698,605217.48,4
0xb2d5b05b,0.15,1
0xb2d4eed8,412007.1,8
0xb2d22d0f,0.05,1
0xb2d14aa7,66.23,1
0xb2d14aa4,32025999.69,11
0xb2d8fad7,300.0,1
0xb2d4915a,1.17,1
0xb2d83b9d,20.81,1
0xb2d49160,1929715.03,3
0xb2d1a828,100000.0,3
0xb2d146cf,0.93,2
0xb2d14693,0.63,1
0xb2d28e98,0.51,1
0xb2d0e900,0.0,1
0xb2d28ea4,186.32,1
0xb2d4f4ed,433.1,1
0xb2d696bf,0.07,1
0xb2d5528f,41.32,1
0xb2d696c2,528140.49,3
0xb2d696c5,0.07,1
0xb2d146a5,0.0,1
0xb2d4ef05,8640.52,2
0xb2d14a7d,0.1,1
0xb2d5b02b,269244.08,2
0xb2d4f4fc,406331.53,3
0xb2d83b79,880000.0,3
0xb2d696b9,134.08,1
0xb2d28e8c,0.0,1
0xb2d22d33,67.31,3
0xb2d1469f,0.0,1
0xb2d5b022,153074.56,3
0xb2d696b0,121510.89,1
0xb2d55295,16.45,1
0xb2d2ec67,0.0,1
0xb2d28ec8,0.0,1
0xb2d2ec61,0.0,2
0xb2d3d256,2.09,1
0xb2d28ed4,4.46,1
0xb2d22d45,6.76,1
0xb2d28ed1,0.0,1
0xb2d1a876,93.0,2
0xb2d3d247,300064.78,4
0xb2d28eb0,38.02,1
0xb2d1a873,2.0,1
0xb2d55262,174.83,1
0xb2d40ef2,233914.23,7
0xb2d28eec,77.57,1
0xb2d37493,3128325.39,5
0xb2d3d232,0.03,1
0xb2d1a861,211.51,1
0xb2d40efb,2303099.64,20
0xb2d2ec8b,9713.65,1
0xb2d3d217,123269.78,2
0xb2d2ec7c,5.67,1
0xb2d28ed7,250013.78,6
0xb2d40f0a,438032.52,3
0xb2d3d20e,11.91,1
0xb2d28ee3,5.57,1
0xb2d3d27a,700385.99,3
0xb2d34e35,10.26,1
0xb2d69629,27823.71,1
0x3b9b252f,1.0,1
0xb2d6962c,180690.44,2
0xb2d63743,435144.7,5
0xb2d374ed,0.43,1
0xb2d6f7b2,1484.3,1
0xb2d6f7a3,18696.88,2
0xb2d4f568,483395.68,5
0x3b9b2529,210368.76,7
0xb2d3d265,240017.74,3
0xb2d374c3,22744.01,1
0xb2d3d268,2035.44,1
0xb2d63737,901456.39,5
0xb2d6f797,0.0,1
0xb2d6372e,70000.0,4
0xb2d374d2,2900.06,1
