cust_no,C1,C2
0xb2d3ad96,331893.29,7
0xb2d2ec40,42.66,1
0xb2d636da,550102.45,6
0xb2d6bb1f,40945.59,2
0xb2d3d208,1450906.17,5
0xb2d6f824,250010.57,2
0xb2d3ada5,12.41,1
0xb2d3ada2,1270090.52,5
0xb2d6bb25,500035.09,2
0xb2d636d1,0.0,1
0xb2d3ad84,390045.29,7
0xb2d3744e,0.88,1
0x3b9b25a1,206905.6,10
0xb2d3744b,356.92,1
0x3b9b259e,109218.13,4
0xb2d2ec34,0.17,1
0xb2d2ec31,610092.02,4
0xb2d37454,30.97,1
0xb2d6f821,2.68,1
0xb2d6bb0d,6419.71,1
0xb2d6f80f,125.52,1
0x3b9b2598,500000.0,4
0x3b9b259b,201081.41,9
0xb2d6bb13,1554.35,1
0xb2d34dde,4.44,1
0x3b9b258f,9096.82,10
0xb2d40f3d,325076.41,4
0xb2d34d99,3.17,1
0x3b9b258c,10.24,1
0xb2d6bb49,141678.22,2
0xb2d5d530,355179.64,3
0xb2d08b76,177007.64,2
0xb2d37442,0.89,1
0xb2d6369e,59.36,1
0xb2d08b6a,1.0,1
0xb2d4ce71,0.27,1
0xb2d6bb37,142.73,1
0xb2d433b8,1056.51,1
0xb2d5d521,642.25,1
0xb2d63695,10082.39,2
0x3b9b2571,52.3,1
0xb2d61226,940067.83,6
0x3b9b256e,1.0,1
0xb2d6bb3a,80051.96,2
0xb2d433c7,0.56,1
0xb2d08b55,821011.28,9
0xb2d4ce56,320012.55,5
0xb2d3ad5a,31.18,1
0xb2d34db4,20018.67,2
0xb2d6f7d9,186013.76,4
0xb2d958d3,0.0,1
0xb2d61217,0.0,1
0xb2d6f7dc,200782.4,2
0xb2d14abf,0.09,1
0xb2d83bdf,1042.95,1
0xb2d08ba3,1357832.35,12
0xb2d5d50c,40.12,1
0xb2d4916f,0.02,1
0xb2d49175,10.36,1
0xb2d5d50f,0.0,1
0xb2d4ce8f,593.7,1
0xb2d69653,10975.13,1
0xb2d6120b,36900.33,1
0xb2d146d8,79.59,1
0xb2d6120e,160.35,1
0xb2d433d9,75.18,1
0xb2d57761,102548.59,6
0xb2d6964d,46519.89,1
0xb2d3ad45,0.35,2
0xb2d958b8,1.0,1
0xb2d0e951,78.03,1
0xb2d5d4f7,155008.72,4
0xb2d08b8b,102217.91,3
0xb2d69668,0.1,1
0xb2d958c7,0.17,1
0xb2d4ce80,2589.07,1
0xb2d958c4,250000.53,3
0xb2d146f0,2.5,1
0xb2d5d500,11238.54,1
0xb2d14ac2,0.0,1
0xb2d4ceb3,29.19,1
0xb2d0e918,221.02,1
0xb2d34de7,9232.46,1
0xb2d34de4,0.52,1
0xb2d433fa,0.06,1
0xb2d5d4e2,0.0,1
0xb2d5b064,790001.99,6
0xb2d83baf,206174.6,2
0xb2d49196,7.84,1
0xb2d515c6,21.72,1
0xb2d5d4eb,203006.46,2
0xb2d6bb01,20358.48,2
0xb2d6bafe,5934.3,1
0xb2d519a7,320.72,1
0xb2d57734,10038.7,1
0xb2d6bb04,18.04,1
0xb2d34df3,8101.02,1
0xb2d6f7ee,2.48,1
0xb2d4ef26,140492.25,3
0xb2d22ce5,5055.11,2
0xb2d0b01b,500099.14,4
0xb2d4cead,1021.89,1
0xb2d611d2,2077087.85,15
0xb2d6968f,12.18,1
0xb2d0e930,5.12,2
0xb2d6bae9,137.27,1
0xb2d491a8,7.31,1
0xb2d5d4d9,0.0,1
0xb2d9587c,0.0,1
0xb2d8fae0,143.04,1
0xb2d49154,453034.16,5
0xb2d51977,15.46,1
0xb2d1a834,8.93,1
0xb2d5b040,1101922.02,5
0xb2d552b3,0.0,1
0xb2d95885,655.95,2
0xb2d552b0,30.71,1
0xb2d146b7,470000.0,4
0xb2d95882,200001.58,2
0xb2d1a843,200017.88,3
0xb2d5b05b,0.15,1
0xb2d57725,20.08,1
0xb2d4eed8,377000.0,7
0xb2d57728,100004.59,2
0xb2d14aa4,37241000.45,12
0xb2d8face,94.29,1
0xb2d8fad7,300.17,1
0xb2d4eee7,25.42,1
0xb2d83b9d,0.0,1
0xb2d1a828,180000.0,5
0xb2d57722,595.56,1
0xb2d146cf,0.93,2
0xb2d1a831,84.0,1
0xb2d14690,0.19,1
0xb2d0e8f4,0.01,1
0xb2d28e9b,0.0,1
0xb2d958ac,38.86,1
0xb2d83b85,61.46,1
0xb2d1a819,0.42,1
0xb2d1a81c,300140.94,2
0xb2d4f4ed,436.44,1
0xb2d55280,6.56,1
0xb2d5527d,0.53,1
0xb2d4ef05,8648.91,2
