cust_no,B1,B2,B3,B4,B5,B6,B7
0xb2d5e90a,0,1,1539000.0,2,1000000.0,2019-09-19 10:45:00,7.0
0xb2d2574d,0,1,6734.0,0,0.0,2019-09-26 23:50:00,3.0
0xb2d10a6d,0,0,0.0,0,0.0,2019-04-18 19:46:00,0.0
0xb2d44789,2,0,0.0,0,0.0,2019-05-02 11:55:00,0.0
0xb2d10b20,15,1,3497774.63,0,0.0,2019-09-30 18:34:00,1.0
0xb2d53a1a,0,1,2008.84,0,0.0,2019-09-17 16:12:00,7.0
0xb2d0db96,0,0,0.0,0,0.0,2019-03-15 04:02:00,0.0
0xb2d13c0c,1,0,0.0,0,0.0,2019-08-20 03:53:00,7.0
0xb2d581b0,10,1,500000.0,1,500000.0,2019-09-24 07:07:00,3.0
0xb2d168ce,0,2,304345.0,1,150000.0,2019-09-27 08:42:00,6.0
0xb2d233cc,0,0,0.0,0,0.0,,0.0
0xb2d4c84f,5,2,296171.2,1,148000.0,2019-09-27 08:43:00,6.0
0xb2d69cf1,0,0,0.0,0,0.0,2019-06-06 04:48:00,0.0
0xb2d0cb7f,1,2,101775.56,2,52000.0,2019-09-30 04:46:00,4.0
0xb2d39588,0,3,3890.0,0,0.0,2019-09-27 22:04:00,28.0
0xb2d0bb8a,0,0,0.0,0,0.0,2019-07-09 04:42:00,4.0
0xb2d6476b,0,0,0.0,0,0.0,2019-06-13 08:30:00,0.0
0xb2d64980,0,0,0.0,0,0.0,2019-04-07 11:54:00,0.0
0xb2d21d6a,0,0,0.0,0,0.0,,0.0
0xb2d5ac35,21,9,260922.62,9,167453.25,2019-09-30 04:51:00,28.0
0xb2d274cd,0,0,0.0,0,0.0,,0.0
0xb2d27323,0,1,16100.0,0,0.0,2019-09-10 17:57:00,4.0
0xb2d11187,13,0,0.0,5,200000.0,2019-09-19 08:54:00,5.0
0xb2d4dc78,0,0,0.0,0,0.0,2019-09-30 09:05:00,15.0
0xb2d178e5,11,0,0.0,5,18871.61,2019-09-29 14:00:00,13.0
0xb2d5b6d8,10,6,64320000.0,4,40165400.0,2019-09-29 14:46:00,30.0
0xb2d16c6d,0,0,0.0,0,0.0,2019-09-24 20:43:00,13.0
0xb2d53c57,2,2,264386.0,2,20887.0,2019-09-30 20:41:00,17.0
0xb2d23940,11,8,1103779.04,9,653920.42,2019-09-30 04:53:00,58.0
0xb2d0c534,0,0,0.0,0,0.0,2019-08-25 14:38:00,1.0
0xb2d1f83d,0,0,0.0,0,0.0,,0.0
0xb2d329c4,1,0,0.0,0,0.0,2019-08-09 04:10:00,4.0
0xb2d21b2d,0,1,4700.0,0,0.0,2019-09-30 08:42:00,3.0
0x3b9af0d4,2,0,0.0,0,0.0,2019-07-03 04:06:00,1.0
0xb2d579ff,3,2,50000.0,2,50000.0,2019-09-11 04:08:00,51.0
0xb2d3b9e6,11,2,30122.22,4,1460.7,2019-09-26 10:43:00,34.0
