cust_no,X1,X2,X3,X4,X5,X6,X7,X8
0xb2d1b6d1,213000,0.0,328.07,0,0.0,0.0,0.0,0
0xb2d2992d,100000,0.0,4978.04,0,4534.57,0.0,0.0,200000
0xb2d93cd4,85000,0.0,5681.25,0,497.48,0.0,0.0,0
0xb2d9082a,0,0.0,15569.12,0,0.0,0.0,218000.0,0
0xb2d5fba3,0,0.0,6803.19,0,0.0,0.0,0.0,0
0xb2d2c549,1050000,0.0,32.31,0,0.0,0.0,0.0,0
0xb2d32a3e,0,0.0,4.0,0,0.0,0.0,0.0,0
0xb2d51707,100000,0.0,20.0,0,0.0,0.0,0.0,0
0xb2d6544a,0,0.0,966.76,0,0.0,0.0,0.0,0
0xb2d16d03,825000,0.0,3823.85,0,0.0,0.0,0.0,1000000
0xb2d12137,574000,0.0,7.87,0,0.0,0.0,0.0,0
0xb2d1c50e,0,0.0,4.24,0,0.0,0.0,0.0,0
0xb2d5522c,0,0.0,30950.67,0,0.0,0.0,0.0,0
0xb2d5b721,200000,0.0,19.98,0,0.0,0.0,0.0,0
0xb2d90377,300000,0.0,3.17,0,0.0,0.0,0.0,0
0xb2d5b6d9,10000,0.0,178.25,0,0.0,0.0,0.0,0
0xb2d6bd4a,0,0.0,1314.68,0,0.0,0.0,1830000.0,0
0xb2d27d61,0,0.0,0.08,0,0.0,0.0,0.0,0
0xb2d0a1bd,0,0.0,636484.52,0,0.0,0.0,0.0,3750000
0xb2d6911c,0,0.0,10124.94,0,0.0,0.0,0.0,0
0xb2d53378,75000,0.0,10724.02,0,0.0,0.0,0.0,0
0xb2d57c29,0,0.0,3282.34,0,0.0,0.0,0.0,0
0xb2d77fea,0,0.0,29.14,0,0.0,0.0,0.0,600000
0xb2d8ea9c,100000,0.0,2.12,0,0.0,0.0,0.0,0
0xb2d0d268,0,0.0,15416.81,0,0.0,0.0,0.0,0
0xb2d1a22b,1350000,0.0,47808.55,0,0.0,0.0,0.0,0
0xb2d1662b,0,0.0,3485.79,0,201.36,0.0,0.0,0
0xb2d3679d,0,0.0,65.63,0,0.0,0.0,0.0,500000
0xb2d6ec3c,0,0.0,1782.29,0,0.0,0.0,155000.0,0
0xb2d30d3d,560000,0.0,39.07,0,0.0,0.0,0.0,0
0xb2d2eaa5,0,0.0,8513.3,0,0.0,0.0,8970000.0,0
0xb2d57b15,170000,0.0,3613.69,0,0.0,0.0,0.0,0
0xb2d64616,0,0.0,50199.87,0,0.0,0.0,0.0,0
0xb2d2ec8b,0,0.0,35429.92,0,0.0,0.0,0.0,0
0xb2d15a61,0,0.0,54457.86,0,0.0,0.0,0.0,0
0xb2d6b6e1,0,0.0,7931.61,0,0.0,0.0,0.0,0
0xb2d44c96,0,0.0,66.72,0,0.0,0.0,0.0,0
0xb2d58430,20000,0.0,342.02,0,0.0,0.0,0.0,0
0xb2d3246e,0,0.0,13.8,0,10116.58,0.23,0.0,0
0xb2d56069,660000,0.0,287.45,100000,0.0,0.0,0.0,0
0xb2d7836e,2950000,0.0,80.26,0,0.0,0.0,0.0,0
0xb2d2106e,0,0.0,417.58,0,0.0,0.0,860000.0,0
0xb2d2c171,0,0.0,1012.81,0,0.0,0.0,0.0,0
0xb2d3ad7b,900000,0.0,46516.26,1100000,0.0,0.0,0.0,0
0xb2d23cf6,800000,0.0,74412.06,0,0.0,0.0,0.0,0
0x3b9b12c9,0,0.0,3052.57,0,0.0,0.0,0.0,0
0xb2d1c343,0,0.0,173.5,0,0.0,0.0,769303.24,0
0xb2d3779c,0,0.0,16310.4,0,0.0,0.0,0.0,0
0xb2d226d9,160000,0.0,29.64,0,0.0,0.0,0.0,0
0xb2d1cf34,1200000,0.0,3238.92,0,0.0,0.0,0.0,0
0xb2d37001,0,0.0,32147.66,0,0.0,0.0,0.0,0
0xb2d203ea,0,0.0,509.85,0,0.0,0.0,0.0,0
0xb2d6bc03,0,0.0,3.17,0,0.0,0.0,0.0,0
0xb2d0eef7,0,141335.87,4386.06,0,0.0,0.0,0.0,0
0xb2d640c7,0,0.0,10314.78,0,0.0,0.0,0.0,0
0xb2d578f3,100000,0.0,4587.86,0,0.0,0.0,0.0,1000000
0xb2d268f1,212000,0.0,14.87,0,0.0,0.0,0.0,0
0xb2d29e16,280000,0.0,40.96,0,0.0,0.0,0.0,0
0xb2d61ed1,0,0.0,6074.83,0,0.0,0.0,0.0,200000
0xb2d27c41,0,0.0,4981.53,0,0.0,0.0,0.0,0
0xb2d3cf2f,38000,0.0,0.3,0,203566.59,3458.08,0.0,0
0xb2d5fd3e,0,0.0,15368.82,0,0.0,0.0,0.0,0
0xb2d32843,0,0.0,8280.87,0,0.0,0.0,0.0,0
0xb2d3cc71,651000,0.0,494.18,0,0.0,0.0,0.0,0
0xb2d78797,0,0.0,65331.28,0,0.0,0.0,0.0,0
0xb2d3b9f0,347000,0.0,643.79,0,0.0,0.0,0.0,0
0xb2d2a986,140000,0.0,28.1,0,0.0,0.0,0.0,0
0xb2d35acb,2550000,0.0,312.2,0,0.0,0.0,0.0,0
0xb2d3a460,726000,0.0,50108.82,0,0.0,0.0,0.0,0
0xb2d72488,50000,0.0,195.34,0,0.0,0.0,0.0,0
0xb2d6a799,0,0.0,81.31,0,0.0,0.0,0.0,0
0xb2d4e143,0,0.0,95.43,200000,0.0,0.0,0.0,0
0xb2d10bb6,0,0.0,30643.25,0,0.0,0.0,0.0,0
0xb2d529f7,0,0.0,3077.45,0,0.0,0.0,0.0,0
0xb2d47390,0,0.0,45247.06,0,0.0,0.0,0.0,0
0xb2d51e51,0,0.0,5020.87,0,0.0,0.0,0.0,0
0xb2d395e1,1811000,0.0,61238.4,106000,0.0,0.0,0.0,3878000
0xb2d28a93,0,64903.34,0.07,0,0.0,0.0,0.0,0
0xb2d0730a,0,0.0,1586.74,0,0.0,0.0,0.0,0
0xb2d6bde3,0,0.0,13860.84,0,0.0,0.0,0.0,0
0xb2d25808,0,0.0,3261.75,0,0.0,0.0,0.0,0
0xb2d60530,0,0.0,12920.52,0,0.0,0.0,0.0,0
0xb2d3aae7,0,0.0,1603.99,0,0.0,0.0,0.0,0
0xb2d90d3a,250000,0.0,79.26,0,710.13,0.0,0.0,200000
0xb2d96326,0,0.0,0.0,0,0.0,0.0,0.0,0
0xb2d2725a,0,0.0,346.91,0,0.0,0.0,2353381.53,0
0xb2d227b4,0,0.0,1212.76,0,0.0,0.0,0.0,0
0xb2d4634c,0,0.0,242.01,0,0.0,0.0,3418332.12,0
0xb2d395e4,0,0.0,236940.65,0,0.0,0.0,0.0,0
0xb2d942bc,0,0.0,0.0,0,0.0,0.0,0.0,0
0xb2d0779f,190000,0.0,62.61,0,0.0,0.0,0.0,0
0xb2d67feb,0,0.0,583.68,50000,0.0,0.0,0.0,0
0xb2d6991d,1500000,0.0,1228.74,0,0.0,0.0,0.0,1700000
0xb2d61616,353000,0.0,534.63,0,0.0,0.0,0.0,0
0xb2d24acd,250000,0.0,717.19,50000,0.0,0.0,0.0,0
0xb2d30fb0,0,0.0,25381.14,0,0.0,0.0,0.0,0
0xb2d2e9c4,0,0.0,1312.09,0,0.0,0.0,220000.0,0
0xb2d4babe,150000,0.0,22059.9,80000,0.0,0.0,0.0,0
0xb2d069a1,0,0.0,58129.21,400000,0.0,0.0,0.0,0
0xb2d3d58c,0,0.0,7189.81,0,0.0,0.0,0.0,0
0x3b9af1de,0,0.0,712.76,0,200.88,0.0,0.0,0
0xb2d5fdaa,30000,0.0,2.34,10000,0.0,0.0,0.0,0
0xb2d34664,0,0.0,2098.12,0,0.0,0.0,0.0,0
0xb2d2ac35,0,0.0,2671.04,0,0.0,0.0,0.0,0
0xb2d37c88,0,0.0,86.69,0,0.0,0.0,0.0,0
0xb2d2812a,0,0.0,0.0,0,11720.27,0.0,0.0,545000
0xb2d1408a,246000,0.0,111286.33,0,8.29,0.0,0.0,0
0xb2d1e2b1,100000,0.0,7300.47,0,0.0,0.0,0.0,0
0xb2d24f08,1180000,0.0,863.9,0,0.0,0.0,0.0,0
0xb2d60ae8,50000,0.0,37.04,0,0.0,0.0,0.0,0
