cust_no,C1,C2
0xb2d3ad96,331893.29,7
0xb2d636da,550102.45,6
0xb2d6bb1f,40945.59,2
0xb2d3d208,1450906.17,5
0xb2d6f824,250010.57,2
0xb2d3ada2,1270090.52,5
0xb2d6bb25,500035.09,2
0xb2d3ad84,390045.29,7
0x3b9b25a1,206905.6,10
0x3b9b259e,109218.13,4
0xb2d2ec31,610092.02,4
0xb2d6bb0d,6419.71,1
0xb2d6f80f,125.52,1
0x3b9b2598,500000.0,4
0x3b9b259b,201081.41,9
0xb2d6bb13,1554.35,1
0x3b9b258f,9096.82,10
0xb2d40f3d,325076.41,4
0xb2d6bb49,141678.22,2
0xb2d5d530,355179.64,3
0xb2d08b76,177007.64,2
0xb2d433b8,1056.51,1
0xb2d5d521,642.25,1
0xb2d63695,10082.39,2
0xb2d61226,940067.83,6
0xb2d6bb3a,80051.96,2
0xb2d08b55,821011.28,9
0xb2d4ce56,320012.55,5
0xb2d34db4,20018.67,2
0xb2d6f7d9,186013.76,4
0xb2d6f7dc,200782.4,2
0xb2d08ba3,1357832.35,12
0xb2d49175,10.36,1
0xb2d4ce8f,593.7,1
0xb2d69653,10975.13,1
0xb2d6120b,36900.33,1
0xb2d57761,102548.59,6
0xb2d6964d,46519.89,1
0xb2d3ad45,0.35,2
0xb2d5d4f7,155008.72,4
0xb2d08b8b,102217.91,3
0xb2d4ce80,2589.07,1
0xb2d958c4,250000.53,3
0xb2d5d500,11238.54,1
0xb2d34de7,9232.46,1
0xb2d5b064,790001.99,6
0xb2d83baf,206174.6,2
0xb2d5d4eb,203006.46,2
0xb2d6bb01,20358.48,2
0xb2d6bafe,5934.3,1
0xb2d57734,10038.7,1
0xb2d34df3,8101.02,1
0xb2d4ef26,140492.25,3
0xb2d22ce5,5055.11,2
0xb2d0b01b,500099.14,4
0xb2d611d2,2077087.85,15
0xb2d49154,453034.16,5
0xb2d5b040,1101922.02,5
0xb2d146b7,470000.0,4
0xb2d95882,200001.58,2
0xb2d1a843,200017.88,3
0xb2d4eed8,377000.0,7
0xb2d57728,100004.59,2
0xb2d14aa4,37241000.45,12
0xb2d1a828,180000.0,5
0xb2d57722,595.56,1
0xb2d83b85,61.46,1
0xb2d1a81c,300140.94,2
0xb2d4f4ed,436.44,1
0xb2d4ef05,8648.91,2
0xb2d4f4fc,407757.3,3
0xb2d83b79,880000.0,3
0xb2d5b022,224185.31,4
0xb2d5b01f,73.08,1
0xb2d55271,1062.29,1
0xb2d34dff,17679.11,1
0xb2d40ef2,255019.16,9
0xb2d37493,3132195.13,5
0xb2d40efb,2303107.5,20
0xb2d14ab3,212740.55,2
0xb2d40f07,187293.38,3
0xb2d2ec79,897016.7,2
0xb2d28ed7,250013.79,6
0xb2d40f0a,438080.57,3
0xb2d63743,435144.84,5
0xb2d6f7a3,33038.47,3
0xb2d4f568,483071.62,5
0x3b9b2529,210371.88,7
0xb2d3d265,240017.76,3
0xb2d374c3,9993.74,1
0xb2d6373d,500011.32,3
0xb2d63737,900078.83,5
0xb2d6372e,70001.59,4
0xb2d43418,2889790.86,4
0x3b9b2511,240074.07,6
0xb2d08af8,140223.95,2
